City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Bengkulu,-3.8004,102.2655,76.48,89,100,3.98,ID,2022-07-14 20:48:10
130,San Rafael Del Sur,11.8485,-86.4384,83.14,71,89,14.65,NI,2022-07-14 20:56:09
131,Maningrida,-12.0667,134.2667,55.53,91,13,10.36,AU,2022-07-14 20:56:10
132,Geraldton,-28.7667,114.6,54.01,87,75,4.61,AU,2022-07-14 20:55:05
133,Cabedelo,-6.9811,-34.8339,79.47,79,7,14.85,BR,2022-07-14 20:44:22
134,Ulaangom,49.9811,92.0667,50.05,67,18,4.36,MN,2022-07-14 20:56:10
135,Waingapu,-9.6567,120.2641,72.95,85,42,8.93,ID,2022-07-14 20:56:11
136,Mareeba,-17.0,145.4333,56.12,84,89,2.17,AU,2022-07-14 20:56:11
137,Pisco,-13.7,-76.2167,66.25,68,0,14.97,PE,2022-07-14 20:56:11
138,Souillac,-20.5167,57.5167,68.38,88,75,11.5,MU,2022-07-14 20:52:40
139,Kungurtug,50.5994,97.5228,47.7,97,100,2.37,RU,2022-07-14 20:57:12
140,Salalah,17.0151,54.0924,77.83,94,98,7.2,OM,2022-07-14 20:57:12
141,Bam,29.106,58.357,85.15,14,0,8.72,IR,2022-07-14 20:57:13
142,Puerto Narino,-3.7703,-70.3831,80.94,83,93,2.48,CO,2022-07-14 20:57:13
143,Rocha,-34.4833,-54.3333,55.89,97,73,9.17,UY,2022-07-14 20:57:14
144,Portland,45.5234,-122.6762,83.7,46,0,1.99,US,2022-07-14 20:56:11
145,Hithadhoo,-0.6,73.0833,83.25,75,100,14.05,MV,2022-07-14 20:52:43
146,Oksfjord,70.2396,22.3479,57.27,99,100,7.99,NO,2022-07-14 20:57:14
147,San Patricio,28.017,-97.5169,98.19,39,25,16.24,US,2022-07-14 20:57:15
148,Limbe,4.0242,9.2149,76.21,88,87,6.6,CM,2022-07-14 20:57:15
149,Touros,-5.1989,-35.4608,77.23,77,14,15.08,BR,2022-07-14 20:52:36
150,Tandil,-37.3217,-59.1332,50.68,84,100,7.36,AR,2022-07-14 20:57:15
151,Lugoba,-6.45,38.3333,70.61,71,98,2.44,TZ,2022-07-14 20:57:16
152,Boyolangu,-8.1181,111.8935,74.95,94,86,6.04,ID,2022-07-14 20:57:16
153,Brae,60.3964,-1.353,52.65,89,93,12.01,GB,2022-07-14 20:57:16
154,Lata,40.1629,-8.3327,78.08,44,97,3.22,PT,2022-07-14 20:57:17
155,Coronel Vivida,-25.9797,-52.5678,65.19,75,64,6.96,BR,2022-07-14 20:57:17
156,Kombissiri,12.0656,-1.3375,87.78,55,62,11.86,BF,2022-07-14 20:57:17
157,Norman Wells,65.282,-126.8329,51.84,76,100,14.97,CA,2022-07-14 20:57:18
158,Okhtyrka,50.3104,34.8988,58.73,91,0,7.29,UA,2022-07-14 20:57:18
159,Amnat Charoen,15.9167,104.75,75.61,93,100,6.24,TH,2022-07-14 20:57:18
160,Kasongo,-4.45,26.6667,81.12,36,98,2.3,CD,2022-07-14 20:57:19
161,Port Hedland,-20.3167,118.5667,51.85,87,53,6.91,AU,2022-07-14 20:57:19
162,New Norfolk,-42.7826,147.0587,43.72,90,90,2.06,AU,2022-07-14 20:55:47
163,Barrow,71.2906,-156.7887,37.53,69,7,7.87,US,2022-07-14 20:57:20
164,Coquimbo,-29.9533,-71.3436,53.33,100,100,13.8,CL,2022-07-14 20:57:20
165,Avarua,-21.2078,-159.775,75.25,64,100,10.36,CK,2022-07-14 20:57:20
166,Tasiilaq,65.6145,-37.6368,50.16,70,100,6.04,GL,2022-07-14 20:47:22
167,Dagua,3.6569,-76.6886,79.3,93,92,4.65,CO,2022-07-14 20:57:21
168,Khatanga,71.9667,102.5,44.1,86,100,2.98,RU,2022-07-14 20:57:21
169,Florence,43.7667,11.25,82.08,65,0,6.91,IT,2022-07-14 20:57:22
170,Chokurdakh,70.6333,147.9167,54.72,58,88,7.14,RU,2022-07-14 20:48:09
171,La Ronge,55.1001,-105.2842,77.25,25,75,14.97,CA,2022-07-14 20:57:22
172,Villazon,-22.0866,-65.5942,51.85,13,42,33.62,BO,2022-07-14 20:57:22
173,Cuencame,24.8711,-103.6964,87.96,25,79,14.52,MX,2022-07-14 20:57:23
174,Zeya,53.75,127.2667,65.89,83,90,3.42,RU,2022-07-14 20:57:23
175,Den Helder,52.9599,4.7593,60.78,73,40,7.0,NL,2022-07-14 20:57:23
176,Progreso,21.2833,-89.6667,89.55,54,100,15.86,MX,2022-07-14 20:50:18
177,Kruisfontein,-34.0033,24.7314,52.59,89,41,5.86,ZA,2022-07-14 20:57:24
178,Jega,12.2175,4.3792,87.8,52,62,2.68,NG,2022-07-14 20:57:24
179,Majene,-3.5403,118.9707,75.7,88,100,3.69,ID,2022-07-14 20:50:12
180,Beruwala,6.4788,79.9828,77.31,88,91,7.7,LK,2022-07-14 20:57:25
181,Nikolskoye,59.7035,30.7861,59.81,96,99,3.69,RU,2022-07-14 20:48:32
182,Stokmarknes,68.5646,14.9108,53.56,93,100,3.44,NO,2022-07-14 20:57:25
183,Severo-Kurilsk,50.6789,156.125,54.3,94,82,10.36,RU,2022-07-14 20:57:25
184,Matagami,49.7502,-77.6328,71.71,30,0,5.75,CA,2022-07-14 20:57:26
185,Mangrol,21.1167,70.1167,79.48,93,100,16.11,IN,2022-07-14 20:58:26
186,Cerkezkoy,41.285,28.0003,66.38,77,0,8.05,TR,2022-07-14 20:58:26
187,Ostrovnoy,68.0531,39.5131,59.29,90,100,11.86,RU,2022-07-14 20:48:06
188,Jacmel,18.2342,-72.5347,82.49,73,100,3.85,HT,2022-07-14 20:58:27
189,Tiznit,29.5833,-9.5,80.38,49,30,2.8,MA,2022-07-14 20:58:27
190,Klyuchi,52.2667,79.1667,62.67,61,78,5.32,RU,2022-07-14 20:58:28
191,Port Hardy,50.6996,-127.4199,59.18,88,100,3.44,CA,2022-07-14 20:48:40
192,Kerikeri,-35.2268,173.9474,49.91,96,100,3.67,NZ,2022-07-14 20:58:28
193,Lavrentiya,65.5833,-171.0,49.66,71,100,10.29,RU,2022-07-14 20:51:32
194,Esperance,-33.8667,121.9,57.65,83,9,20.22,AU,2022-07-14 20:58:29
195,Wilmington,34.2257,-77.9447,86.95,75,100,1.99,US,2022-07-14 20:57:42
196,Vagur,61.4732,-6.8119,50.4,85,99,15.82,FO,2022-07-14 20:58:29
197,Bani,18.2833,-70.3333,83.86,62,100,13.4,DO,2022-07-14 20:58:30
198,Kahului,20.8947,-156.47,82.42,73,20,23.02,US,2022-07-14 20:51:32
