City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,La Fleche,FR,77.25,broken clouds,47.6982,-0.0755,Le Relais Cicero
300,Trincomalee,LK,80.78,overcast clouds,8.5711,81.2335,Welcombe Hotel
301,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
302,Senador Jose Porfirio,BR,81.88,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
304,Zhanaozen,KZ,84.54,clear sky,43.3,52.8,K.korabay 28A
311,Kropotkin,RU,70.77,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
314,Vaitape,PF,77.83,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
316,Florence,IT,80.28,clear sky,43.7667,11.25,Hotel Nuova Italia
320,Port Maria,JM,87.03,overcast clouds,18.3685,-76.8895,Galina Breeze Hotel
321,Huaibei,CN,82.0,overcast clouds,33.9744,116.7917,Jinjiang Hotel
323,Ponta Do Sol,PT,74.01,few clouds,32.6667,-17.1,Hotel do Campo
324,Vila Velha,BR,73.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
325,Pamanukan,ID,75.42,light rain,-6.2842,107.8106,Paris Day Hotel Pamanukan
327,Belmonte,BR,72.01,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
334,Maham,IN,88.81,broken clouds,28.9833,76.3,Shri Jangid Brahman Dharamshals
337,Humberto De Campos,BR,76.57,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
338,Pauini,BR,85.15,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
340,Tortoli,IT,77.92,clear sky,39.9256,9.6572,Hotel La Bitta
341,Itarema,BR,79.05,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
346,Cockburn Town,TC,81.84,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
347,Soyo,AO,70.38,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
350,Trinidad,BO,87.17,overcast clouds,-14.8333,-64.9,Hotel Piesta
351,Olinda,BR,76.46,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
352,Naze,JP,80.71,overcast clouds,28.3667,129.4833,Shishime Hotel
353,Kikwit,CD,82.47,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
355,Buala,SB,79.99,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
359,Nago,JP,82.83,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
364,Namatanai,PG,78.67,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
365,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
366,Lisala,CD,74.14,overcast clouds,2.15,21.5167,Guest house Eden
367,Mogadishu,SO,76.39,overcast clouds,2.0371,45.3438,Hotel Juba
369,Jishou,CN,76.82,overcast clouds,28.3167,109.7167,7 Days Inn
370,Saiha,IN,70.92,moderate rain,22.4833,92.9667,"Circuit House, Siaha"
371,Broome,US,83.57,clear sky,42.2506,-75.833,Chenango Valley State Park
373,Sabha,LY,82.58,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
376,Freeport,US,85.98,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
378,Devils Lake,US,82.94,broken clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
379,Barabai,ID,73.02,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
380,Sinnamary,GF,79.95,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
381,Maragogi,BR,74.73,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
385,Ararat,AM,82.74,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
386,Kamaishi,JP,70.77,moderate rain,39.2667,141.8833,Hotel Route Inn Kamaishi
387,Bintulu,MY,76.3,overcast clouds,3.1667,113.0333,900 Boutique INN
390,Fortuna,US,71.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
391,Casale Monferrato,IT,83.43,few clouds,45.1334,8.4571,Hotel Candiani
393,Issoire,FR,72.66,broken clouds,45.55,3.25,ACE Hôtel Issoire
398,Robertsganj,IN,83.93,overcast clouds,24.7,83.0667,Prem Hotel Lodge & Restaurant
399,Huejuquilla El Alto,MX,78.93,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
400,Lazaro Cardenas,MX,87.21,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
405,Praia,CV,75.54,overcast clouds,14.9215,-23.5087,LT Aparthotel
406,Vidalia,US,87.91,scattered clouds,32.2177,-82.4135,Quality Inn & Suites
407,Pachino,IT,77.32,clear sky,36.7186,15.0907,Il Veliero
408,Matay,EG,82.83,clear sky,28.419,30.7792,Nag Aespen
409,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
411,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
412,Realeza,BR,70.72,overcast clouds,-25.7689,-53.5325,Hotel Renascer
413,North Bend,US,80.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
416,Pedernales,DO,85.86,overcast clouds,18.0384,-71.744,Hotel Costa Marina
417,Jeremie,HT,84.16,few clouds,18.65,-74.1167,Auberge’Inn
421,Hamadan,IR,70.9,clear sky,34.7992,48.5146,Parsian BuAli Hotel
423,Miranda,CO,80.73,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
424,Nailon,PH,79.48,overcast clouds,11.0521,124.0385,Acrige Apartelle
