,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Tura,IN,25.5198,90.2201,75.31,94,11,4.34,heavy intensity rain
141,Bambous Virieux,MU,-20.3428,57.7575,68.22,80,96,17.67,light rain
142,Pevek,RU,69.7008,170.3133,36.93,70,100,4.47,overcast clouds
143,Guerrero Negro,MX,27.9769,-114.0611,77.07,58,10,17.31,clear sky
144,Quatre Cocos,MU,-20.2078,57.7625,68.09,82,95,17.13,light rain
145,Roald,NO,62.5833,6.1333,52.32,87,75,10.36,light intensity shower rain
146,Rawson,AR,-43.3002,-65.1023,42.87,74,95,13.44,overcast clouds
147,Padang,ID,-0.9492,100.3543,77.49,87,95,2.68,overcast clouds
148,San Angelo,US,31.4638,-100.437,100.62,27,40,7.0,scattered clouds
149,Srednekolymsk,RU,67.45,153.6833,69.66,44,49,6.49,scattered clouds
150,Oktyabrskiy,RU,54.4815,53.471,61.12,95,72,10.87,broken clouds
151,Hofn,IS,64.2539,-15.2082,51.21,84,80,6.8,broken clouds
152,Corowa,AU,-36.0333,146.3833,35.78,91,100,7.52,overcast clouds
153,Michurinsk,RU,52.8978,40.4907,62.65,85,73,5.03,light rain
154,Lamu,KE,-2.2717,40.902,73.62,81,88,16.82,overcast clouds
155,Qaanaaq,GL,77.484,-69.3632,50.47,63,79,8.79,broken clouds
156,Gainesville,US,29.6516,-82.3248,94.01,48,0,5.75,clear sky
157,Chipinge,ZW,-20.1883,32.6236,50.14,56,1,4.03,clear sky
158,Lewiston,US,44.1003,-70.2148,85.05,39,0,6.91,clear sky
159,Dauriya,RU,49.9333,116.8667,61.23,97,100,2.84,overcast clouds
160,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,90,47,12.75,scattered clouds
161,Beaufort,MY,5.3473,115.7455,75.15,84,99,2.33,overcast clouds
162,Galdar,ES,28.147,-15.6502,72.36,80,29,14.29,scattered clouds
163,Pacific Grove,US,36.6177,-121.9166,80.38,78,40,11.5,scattered clouds
164,Deputatskiy,RU,69.3,139.9,54.54,76,66,6.17,broken clouds
165,Svetlogorsk,BY,52.6333,29.7333,52.92,92,0,6.71,clear sky
166,Stabat,ID,3.761,98.4513,73.6,98,64,3.24,moderate rain
167,Kargil,IN,34.5667,76.1,54.84,63,95,6.29,overcast clouds
168,Samarai,PG,-10.6167,150.6667,76.41,75,98,16.11,overcast clouds
169,Yulara,AU,-25.2406,130.9889,44.58,29,0,3.87,clear sky
170,Horta,PT,38.5333,-28.6333,70.03,88,43,11.03,scattered clouds
171,Maniwaki,CA,46.3834,-75.966,78.69,33,65,4.5,broken clouds
172,Tabas,IR,33.5959,56.9244,85.3,12,0,6.78,clear sky
173,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,67,10.0,broken clouds
174,Odweyne,SO,9.4092,45.064,71.51,69,97,19.1,overcast clouds
175,Berlevag,NO,70.8578,29.0864,67.8,82,0,14.97,clear sky
176,Mana,GF,5.6592,-53.7767,80.26,82,75,6.73,broken clouds
177,Xai-Xai,MZ,-25.0519,33.6442,66.47,75,9,9.57,clear sky
178,Ferme-Neuve,CA,46.7001,-75.4493,76.89,30,85,3.51,overcast clouds
179,Abha,SA,18.2164,42.5053,70.05,53,40,3.44,scattered clouds
180,Siva,EG,29.2041,25.5195,81.99,47,0,14.83,clear sky
181,Carnarvon,AU,-24.8667,113.6333,63.99,61,0,12.19,clear sky
182,Tukrah,LY,32.5341,20.5791,76.51,67,0,8.72,clear sky
183,Bazpur,IN,29.15,79.1167,87.55,53,46,6.4,scattered clouds
184,Port Macquarie,AU,-31.4333,152.9167,39.88,79,90,5.59,overcast clouds
185,Tonantins,BR,-2.8731,-67.8022,81.97,76,100,1.95,overcast clouds
186,Camacha,PT,33.0833,-16.3333,67.42,73,75,8.05,broken clouds
187,Gushikawa,JP,26.3544,127.8686,81.99,94,20,9.22,few clouds
188,Prince Rupert,CA,54.3161,-130.3201,55.49,96,100,9.22,light rain
189,La Rioja,ES,42.25,-2.5,78.58,32,4,5.28,clear sky
190,Bria,CF,6.5423,21.9863,68.54,97,89,2.66,overcast clouds
191,Hamilton,US,39.1834,-84.5333,87.94,48,99,4.0,overcast clouds
192,Joshimath,IN,30.5667,79.5667,69.42,74,30,2.86,scattered clouds
193,Westport,US,41.1415,-73.3579,85.71,52,57,4.0,broken clouds
194,Ankazoabo,MG,-22.2833,44.5167,60.31,57,0,5.77,clear sky
195,Malanje,AO,-9.5402,16.341,66.72,32,0,1.86,clear sky
196,Yatou,CN,37.15,122.3833,72.32,69,30,6.35,scattered clouds
197,Ulaangom,MN,49.9811,92.0667,53.8,58,12,0.67,few clouds
198,Rafraf,TN,37.1904,10.1837,73.71,66,0,4.12,clear sky
199,Lavrentiya,RU,65.5833,-171.0,45.97,62,12,4.45,few clouds
200,Deda,RO,46.9333,24.9,62.83,71,35,4.61,scattered clouds
201,Sakakah,SA,29.9697,40.2064,88.38,18,0,8.57,clear sky
202,Terrace,CA,54.5163,-128.6035,57.9,96,100,2.19,light rain
203,Goure,NE,13.9835,10.2704,81.34,64,100,2.51,light rain
204,Aquiraz,BR,-3.9014,-38.3911,80.69,79,24,7.94,few clouds
205,Abu Dhabi,AE,24.4667,54.3667,94.96,48,100,3.49,overcast clouds
